Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1049,RAJDHANI (A.C. Semi Sleeper),21:40,04h 20m,02:00,3.0,INR 480,37 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 7742,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",21:45,06h 00m,03:45,4.4,INR 396,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 14562,eGARUDA,22:00,06h 10m,04:10,3.6,INR 533,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 7774,Lahari Non A/C Sleeper Cum Seater,22:10,05h 20m,03:30,3.9,INR 354,31 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 9883,Lahari Non A/C Sleeper Cum Seater,22:10,06h 10m,04:20,4.1,INR 442,44 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1404,RAJDHANI (A.C. Semi Sleeper),22:20,05h 40m,04:00,3.4,INR 480,36 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 40377,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:30,04h 50m,03:20,3.8,INR 396,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 31162,RAJDHANI (A.C. Semi Sleeper),22:30,06h 30m,05:00,2.7,INR 480,37 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 8003,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:30,06h 30m,05:00,2.4,INR 396,27 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1917,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:30,05h 00m,03:30,3.9,INR 396,32 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 30510,LAHARI A/C SLEEPER CUM SEATER,22:40,05h 35m,04:15,4.2,INR 536,31 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 41962,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:50,06h 10m,05:00,3.9,INR 396,22 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1824,RAJDHANI (A.C. Semi Sleeper),23:00,04h 35m,03:35,3.5,INR 480,36 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 14762,eGARUDA,23:00,06h 10m,05:10,4.0,INR 533,35 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TSRTC - 1594,RAJDHANI (A.C. Semi Sleeper),23:10,04h 35m,03:45,3.4,INR 480,36 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,06h 15m,06:00,4.7,INR 456,27 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:25,07h 00m,06:25,4.7,INR 456,25 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),16:20,06h 55m,23:15,4.7,450,24 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,AdSri Sanvi Tours and Travels,A/C Sleeper (2+1),23:25,05h 52m,05:17,4.7,584,24 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,FRESHBUS,Electric A/C Seater (2+2),22:30,06h 50m,05:20,4.6,450,26 Seats available
